Items Scraped,Keyword,Product,EPID,Brand,Category,Seller,Items Sold,Condition,Location,Price,Image,Payment,URL,UPC,EAN,MPN,ISBN
1,piano,61-Key Digital Music Piano Keyoard - Portale Electronic Musical Instrument,272393514433,Hamzer,"Musical Instruments & Gear, Pianos, Keyboards & Organs, Electronic Keyboards",leadingliving,365,New,"Fort Lauderdale, FL, United States",81.99,https://i.ebayimg.com/images/g/akoAAOSwcrJd3UfJ/s-l300.jpg,"'PayPal', 'Google Pay', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,702082708354,702082708354,,
2,piano,Full Size 61 Keys Light Up Electronic Keyoard Digital Music Piano Microphone,143371917153,MUCH,"Musical Instruments & Gear, Pianos, Keyboards & Organs, Electronic Keyboards, Toys & Hobbies, Educational, Music & Art",goodssale2010,236,New,"Kenilworth, New Jersey, United States",58.99,https://i.ebayimg.com/images/g/KpEAAOSwbLpelLfw/s-l300.jpg,"'PayPal', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,600685611227,600685611227,,
3,piano,61-Key Electronic Keyoard Portale Digital Music Piano,372694084647,Hamzer,"Musical Instruments & Gear, Pianos, Keyboards & Organs",mixwholesale,62,New,"Fort Lauderdale, FL, United States",114.99,https://i.ebayimg.com/images/g/EmUAAOSwOEJd3U7u/s-l300.jpg,"'PayPal', 'Google Pay', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,,,,
4,piano,88-Key Electronic Keyoard Portale Digital Music Piano,352698024515,Hamzer,"Musical Instruments & Gear, Pianos, Keyboards & Organs",mixwholesale,159,New,"Fort Lauderdale, FL, United States",204.99,https://i.ebayimg.com/images/g/mgsAAOSwPGBd3VAr/s-l300.jpg,"'PayPal', 'Google Pay', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,,,,
5,piano,Digital Piano Keyoard 61 Key - Portale Electronic Instrument with Mic,352401995930,Generic,"Musical Instruments & Gear, Pianos, Keyboards & Organs",mixwholesale,162,New,"Fort Lauderdale, FL, United States",71.99,https://i.ebayimg.com/images/g/5tcAAOSwqqJb2vqe/s-l300.jpg,"'PayPal', 'Google Pay', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,,,,
6,piano,Yamaha P45 88 Key Digital Stage Piano,303617320386,,"Musical Instruments & Gear, Pianos, Keyboards & Organs, Electronic Keyboards",mhzstudio8,,Used,"Oakland, New Jersey, United States",102.50,https://i.ebayimg.com/images/g/A0IAAOSwyhhfBOHV/s-l300.jpg,"'PayPal', 'Google Pay', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,,,,
7,piano,GreenPro 61 Key Portale Electronic Piano Keyoard LED Display,324003517196,GREENCO,"Musical Instruments & Gear, Pianos, Keyboards & Organs, Electronic Keyboards",homecollc,92,New,"Norfolk, Virginia, United States",99.99,https://i.ebayimg.com/images/g/GrUAAOSwsAtd6W-u/s-l300.jpg,"'PayPal', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,810301030022,810301030022,GRP30022,
8,piano,61 Key Music Electronic Keyoard Electric Digital Piano Organ with Microphone,113976236124,Unbranded,"Musical Instruments & Gear, Pianos, Keyboards & Organs",super-yes,149,New,"Dayton, Ohio, United States",25.90,https://i.ebayimg.com/images/g/TmYAAOSwThNdy8I3/s-l300.jpg,"'PayPal', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,,,SU001011,
9,piano,Roland EP-9 88 Key Digital Keyoard Piano,124252747255,Roland,"Musical Instruments & Gear, Pianos, Keyboards & Organs",volkweinsmusic,,Used,"Pittsurgh, Pennsylvania, United States",127.75,https://i.ebayimg.com/images/g/OUwAAOSw0aRfBhm5/s-l300.jpg,"'PayPal', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,,,EP-9,
10,piano,"Electronic Keyoard Piano, 49-Lighted Key Electric Piano Keyoard",124227187351,Vangoa,"Musical Instruments & Gear, Pianos, Keyboards & Organs",corlsea2013,5,New,"Rowland Heights, California, United States",75.98,https://i.ebayimg.com/images/g/AqMAAOSwRNFe~WLP/s-l300.jpg,"'PayPal', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,,,,
11,piano,Beginner&Adults 88 Key LCD Digital Piano Electric Keyoard w/Cover+3 Pedal Board,192567182501,Uenjoy,"Musical Instruments & Gear, Pianos, Keyboards & Organs, Pianos, Digital Pianos, Musical Instruments & Gear, Pianos, Keyboards & Organs",uenjoy.i,44,New,"New Jersey, United States",388.99,https://i.ebayimg.com/images/g/6KcAAOSwNRJckJ8Q/s-l300.jpg,"'PayPal', 'Visa', 'Master Card', 'Amex', 'Discover', 'PayPal Credit'",https://www.ebay.com/itm/61-Key-Digital-Music-Piano-Keyboard-Portable-Electronic-Musical-Instrument/272393514433?epid=1692784401&_trkparms=ispr%3D1&hash=item3f6beb2dc1:g:akoAAOSwcrJd3UfJ&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrJucFFT6GoaO0xJIwIvxefcwj5BrZ7wd4%2FPVkjTOOS0bnY6PZIDuQfAgtAqRmgYK0Mwgq22ovlsliGavOqp19L2vz9NDlNcwJ56%2FB0vJwYr9AAY4woCkylzlWGpEBzbQkLmOjWTUn0VbNN3pDHi1ESDKd2NOuIk8uCuDqCcdSx3LwQvvJeygPxHh5%2FKm5paVP0i641AU2RzTSPAGI7Nk2SUGO5U66PpB0mirD%2B%2FmvAWYcgTTsrsA62N51jzIVMUKn5tkCXdJCzqbSRw46SfPaV0okkjlVmChKvLgbds5FwnpmNMerLarF63NSDTVbepGbLiFaO485NNk6tjbxO9Q8lr5aIPJSt59CjLKAMgsIzOSRXmJGPNaz5dPgWYiMr7wXacVWj%2Fu%2FXKKx40JGLsv4KsWqlnAEcfYv4kDf0ToSepzdYcq7YXmy1I8ne5fCSmLB69w%2FP1yaHAkbE39Uj1OdH7MmEQImLnf2uloQ8jDf00wZNzC2N3mJt7Ks4vnJkODHJKZ70FZEX6sRZ5yCAC3diiGM2jOz6CzaO8mQ3m6VueG9LfJUwrNrptBnICMQtHtCNU7q%2FOzLwjua0ioPeOZOhOhILIvMhtS8uaCUDcdhziFhX0caIWDhMiIu%2FbSD%2B2hWZHSXiW95BiBSsrL5WwatBWGXlEZgDnWzv7BFioxWxwTWrYQcYc8E8R1QiJcQ6KgzmGi6r3hiQwjyIAZMCOyAw230N%2ByFDRxaojNslDSTBg3&checksum=27239351443365023520f4fc4d9bb2d309cb4f805e91,699968352438,699968352438,6010200600BI,
